repeat,systimer,starId,starName,scaledPosXpx,scaledPosYpx,scaledPosZpx,posXpx,posXkm,posYpx,posYkm,posZpx,posZkm,velXpx,velXm,velYpx,velYm,velZpx,velZm,accelXpx,accelXm,accelYpx,accelYm,accelZpx,accelZm,momentumX,momentumY,momentumZ,orbitalAngularMomentumX,orbitalAngularMomentumY,orbitalAngularMomentumZ,spinAngularMomentumX,spinAngularMomentumY,spinAngularMomentumZ
1,0.010000,1,Mercury,23.052507,2.832534,-0.016412,23.052507,23.052507,2.832534,2.832534,-0.016412,-0.016412,-0.001176,-33.938548,-0.000145,-4.170184,-1.641230,-47361.987919,-0.117607,-0.039281,-0.014451,-0.004827,0.000084,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,2,Venus,43.323414,2.569333,-0.012135,43.323414,43.323414,2.569333,2.569332,-0.012135,-0.012135,-0.000339,-9.775609,-0.000020,-0.579803,-1.213544,-35019.998631,-0.033875,-0.011314,-0.002009,-0.000671,0.000009,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,3,Earth,60.000042,0.000000,-0.010320,60.000042,60.000039,0.000000,0.000000,-0.010320,-0.010320,-0.000177,-5.095140,0.000000,0.002602,-1.031963,-29779.999592,-0.017656,-0.005897,0.000009,0.000003,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,4,Moon,67.678452,0.691283,-0.028027,60.153610,60.153608,0.013826,0.013826,-0.010674,-0.010674,-0.000257,-7.418391,-0.000007,-0.210082,-1.067378,-30801.996872,-0.025707,-0.008586,-0.000728,-0.000243,0.000022,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,5,Mars,91.373108,2.951334,-0.008343,91.373108,91.373100,2.951334,2.951334,-0.008343,-0.008343,-0.000076,-2.205559,-0.000002,-0.071244,-0.834338,-24076.999900,-0.007643,-0.002553,-0.000247,-0.000082,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,6,Phobos,95.647858,5.055235,-0.965169,91.376396,91.376403,2.952953,2.952953,-0.009079,-0.009079,-0.013216,-379.518863,-0.006464,-184.954875,-0.906970,-26173.376020,-1.306178,-0.433581,-0.639346,-0.211286,0.290654,0.096040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,7,Deimos,102.203796,8.608126,-0.616701,91.381439,91.381432,2.955686,2.955686,-0.008811,-0.008811,-0.002141,-61.748772,-0.001081,-31.168560,-0.881096,-25426.328801,-0.213836,-0.071412,-0.107941,-0.036045,0.011583,0.003868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,8,Ceres,163.317734,30.546377,-0.006205,163.317734,163.317722,30.546377,30.546377,-0.006205,-0.006205,-0.000023,-0.656006,-0.000004,-0.122968,-0.620460,-17904.999988,-0.002273,-0.000759,-0.000426,-0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,9,Jupiter,312.184357,7.100807,-0.004529,312.184357,312.184341,7.100807,7.100807,-0.004529,-0.004529,-0.000007,-0.189044,-0.000000,-0.004296,-0.452913,-13069.999999,-0.000655,-0.000219,-0.000015,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,10,Saturn,574.412659,24.928730,-0.003354,574.412659,574.412610,24.928730,24.928729,-0.003354,-0.003354,-0.000002,-0.055999,-0.000000,-0.002437,-0.335440,-9680.000000,-0.000194,-0.000065,-0.000008,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,11,Uranus,1153.002075,15.556551,-0.002356,1153.002075,1153.002049,15.556551,15.556550,-0.002356,-0.002356,-0.000000,-0.013910,-0.000000,-0.000187,-0.235640,-6800.000000,-0.000048,-0.000016,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,12,Neptune,1803.979004,55.683830,-0.001882,1803.979004,1803.979070,55.683830,55.683829,-0.001882,-0.001882,-0.000000,-0.005673,-0.000000,-0.000175,-0.188165,-5430.000000,-0.000020,-0.000007,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,13,Pluto,2263.449463,698.923584,-0.001644,2263.449463,2263.449525,698.923584,698.923585,-0.001644,-0.001644,-0.000000,-0.003147,-0.000000,-0.000973,-0.164359,-4743.000000,-0.000011,-0.000004,-0.000003,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,0,Sun,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000486,0.000000,0.000014,-0.000000,-0.000000,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,1,Mercury,23.052490,2.832532,-0.032825,23.052490,23.052489,2.832532,2.832532,-0.032825,-0.032825,-0.002352,-67.877081,-0.000289,-8.340365,-1.641229,-47361.951674,-0.117607,-0.039281,-0.014451,-0.004827,0.000167,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,Venus,43.323410,2.569332,-0.024271,43.323410,43.323408,2.569332,2.569332,-0.024271,-0.024271,-0.000678,-19.551218,-0.000040,-1.159605,-1.213544,-35019.994523,-0.033875,-0.011314,-0.002009,-0.000671,0.000019,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,3,Earth,60.000038,0.000000,-0.020639,60.000038,60.000036,0.000000,0.000000,-0.020639,-0.020639,-0.000353,-10.190280,0.000000,0.005204,-1.031963,-29779.998369,-0.017656,-0.005897,0.000009,0.000003,0.000006,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,4,Moon,67.678452,0.691277,-0.056054,60.153606,60.153605,0.013826,0.013826,-0.021348,-0.021348,-0.000514,-14.836770,-0.000015,-0.420162,-1.067378,-30801.987487,-0.025707,-0.008586,-0.000728,-0.000243,0.000043,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,5,Mars,91.373108,2.951334,-0.016687,91.373108,91.373099,2.951334,2.951334,-0.016687,-0.016687,-0.000153,-4.411118,-0.000005,-0.142488,-0.834338,-24076.999600,-0.007643,-0.002553,-0.000247,-0.000082,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,6,Phobos,95.389984,4.930328,-1.892658,91.376198,91.376208,2.952857,2.952858,-0.018130,-0.018130,-0.025948,-744.417061,-0.012699,-362.745615,-0.902645,-26050.102556,-1.231295,-0.408358,-0.603104,-0.198927,0.571475,0.188394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,7,Deimos,102.164124,8.587049,-1.231895,91.381409,91.381400,2.955670,2.955670,-0.017622,-0.017622,-0.004276,-123.350240,-0.002159,-62.260187,-0.880922,-25421.319339,-0.213058,-0.071156,-0.107528,-0.035912,0.023134,0.007726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,8,Ceres,163.317734,30.546377,-0.012409,163.317734,163.317722,30.546377,30.546377,-0.012409,-0.012409,-0.000045,-1.312012,-0.000009,-0.245937,-0.620460,-17904.999950,-0.002273,-0.000759,-0.000426,-0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,9,Jupiter,312.184357,7.100807,-0.009058,312.184357,312.184341,7.100807,7.100807,-0.009058,-0.009058,-0.000013,-0.378088,-0.000000,-0.008593,-0.452913,-13069.999995,-0.000655,-0.000219,-0.000015,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,10,Saturn,574.412659,24.928730,-0.006709,574.412659,574.412610,24.928730,24.928729,-0.006709,-0.006709,-0.000004,-0.111998,-0.000000,-0.004873,-0.335440,-9679.999999,-0.000194,-0.000065,-0.000008,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,11,Uranus,1153.002075,15.556551,-0.004713,1153.002075,1153.002049,15.556551,15.556550,-0.004713,-0.004713,-0.000001,-0.027820,-0.000000,-0.000374,-0.235640,-6800.000000,-0.000048,-0.000016,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,12,Neptune,1803.979004,55.683830,-0.003763,1803.979004,1803.979070,55.683830,55.683829,-0.003763,-0.003763,-0.000000,-0.011347,-0.000000,-0.000350,-0.188165,-5430.000000,-0.000020,-0.000007,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,13,Pluto,2263.449463,698.923584,-0.003287,2263.449463,2263.449525,698.923584,698.923585,-0.003287,-0.003287,-0.000000,-0.006295,-0.000000,-0.001947,-0.164359,-4743.000000,-0.000011,-0.000004,-0.000003,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,0,Sun,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000730,0.000000,0.000021,-0.000000,-0.000000,0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,1,Mercury,23.052462,2.832528,-0.049237,23.052462,23.052460,2.832528,2.832528,-0.049237,-0.049237,-0.003528,-101.815581,-0.000434,-12.510543,-1.641226,-47361.891267,-0.117607,-0.039281,-0.014451,-0.004827,0.000251,0.000084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,2,Venus,43.323402,2.569332,-0.036406,43.323402,43.323400,2.569332,2.569331,-0.036406,-0.036406,-0.001016,-29.326824,-0.000060,-1.739408,-1.213544,-35019.987677,-0.033875,-0.011314,-0.002009,-0.000671,0.000028,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,Earth,60.000034,0.000000,-0.030959,60.000034,60.000032,0.000000,0.000000,-0.030959,-0.030959,-0.000530,-15.285421,0.000000,0.007807,-1.031963,-29779.996330,-0.017656,-0.005897,0.000009,0.000003,0.000008,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,4,Moon,67.678253,0.691268,-0.084081,60.153599,60.153598,0.013825,0.013825,-0.032021,-0.032021,-0.000771,-22.255125,-0.000022,-0.630241,-1.067377,-30801.971845,-0.025707,-0.008586,-0.000728,-0.000243,0.000065,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
